ref_name,doi,medline_id,url,first_author,title,year,published
Fikkert04,10.1097/00002030-200410210-00006,NULL,NULL,"Fikkert, Valery",Multiple mutations in human immunodeficiency virus-1 integrase confer resistance to the clinical trial drug S-1360,2004,TRUE
DeMeyer05,10.1128/AAC.49.6.2314-2321.2005,NULL,NULL,"De Meyer, Sandra","TMC114, a Novel Human Immunodeficiency Virus Type 1 Protease Inhibitor Active against Protease Inhibitor-Resistant Viruses, Including a Broad Range of Clinical Isolates",2005,TRUE
Doyon05,10.1016/j.antiviral.2005.07.003,NULL,NULL,"Doyon, Louise",Selection and characterization of HIV-1 showing reduced susceptibility to the non-peptidic protease inhibitor tipranavir,2005,TRUE
Vingerhoets05,10.1128/JVI.79.20.12773-12782.2005,NULL,NULL,"Vingerhoets, Johan",TMC125 displays a high genetic barrier to the development of resistance: evidence from in vitro selection experiments,2005,TRUE
Margot06,10.1128/AAC.00816-06,NULL,NULL,"Margot, N. A.",In Vitro Human Immunodeficiency Virus Type 1 Resistance Selections with Combinations of Tenofovir and Emtricitabine or Abacavir and Lamivudine,2006,TRUE
Brehm07,10.1128/JVI.02203-06,NULL,NULL,"Brehm, Jessica H.",Selection of Mutations in the Connection and RNase H Domains of Human Immunodeficiency Virus Type 1 Reverse Transcriptase That Increase Resistance to 3′-Azido-3′-Dideoxythymidine,2007,TRUE
Garvey08,10.1128/AAC.01218-07,NULL,NULL,"Garvey, Edward P.","The Naphthyridinone GSK364735 Is a Novel, Potent Human Immunodeficiency Virus Type 1 Integrase Inhibitor and Antiretroviral",2008,TRUE
Goethals08,10.1128/JVI.00470-08,NULL,NULL,"Goethals, Olivia",Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors,2008,TRUE
Hombrouck08,10.1128/AAC.00911-07,NULL,NULL,"Hombrouck, Anneleen","Mutations in Human Immunodeficiency Virus Type 1 Integrase Confer Resistance to the Naphthyridine L-870,810 and Cross-Resistance to the Clinical Trial Drug GS-9137",2008,TRUE
Kobayashi08,10.1016/j.antiviral.2008.06.012,NULL,NULL,"Kobayashi, Masanori",Selection of diverse and clinically relevant integrase inhibitor-resistant human immunodeficiency virus type 1 mutants,2008,TRUE
Shimura08,10.1128/JVI.01534-07,NULL,NULL,"Shimura, Kazuya",Broad Antiretroviral Activity and Resistance Profile of the Novel Human Immunodeficiency Virus Integrase Inhibitor Elvitegravir (JTK-303/GS-9137),2008,TRUE
Jones08,NULL,NULL,https://www.natap.org/2007/CROI/croi_61.htm,"Jones, Gregg S.","In Vitro Resistance Profile of HIV-1 Mutants Selected by the HIV-1 Integrase Inhibitor, GS-9137 (JTK-303)",2008,TRUE
Jones09,10.1128/AAC.00984-08,NULL,NULL,"Jones, Gregg S.","Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase",2009,TRUE
Azijn10,10.1128/AAC.00986-09,NULL,NULL,"Azijn, Hilde","TMC278, a next-generation nonnucleoside reverse transcriptase inhibitor (NNRTI), active against wild-type and NNRTI-resistant HIV-1",2010,TRUE
Corbau10,10.1128/AAC.01455-09,NULL,NULL,"Corbau, Romuald","Lersivirine, a nonnucleoside reverse transcriptase inhibitor with activity against drug-resistant human immunodeficiency virus type 1",2010,TRUE
Asahchop11,10.1128/AAC.01192-10,NULL,NULL,"Asahchop, Eugene L.",Characterization of the E138K resistance mutation in HIV-1 reverse transcriptase conferring susceptibility to etravirine in B and non-B HIV-1 subtypes,2011,TRUE
Kobayashi11,10.1128/AAC.01209-10,NULL,NULL,"Kobayashi, Masanori","In Vitro Antiretroviral Properties of S/GSK1349572, a Next-Generation HIV Integrase Inhibitor",2011,TRUE
Margot12,10.1016/j.antiviral.2011.12.008,NULL,NULL,"Margot, Nicolas A.","In vitro resistance selections using elvitegravir, raltegravir, and two metabolites of elvitegravir M1 and M4",2012,TRUE
Quashie12,10.1128/JVI.06591-11,NULL,NULL,"Quashie, Peter K.",Characterization of the R263K mutation in HIV-1 integrase that confers low-level resistance to the second-generation integrase strand transfer inhibitor dolutegravir,2012,TRUE
Wu12,10.1371/journal.pone.0044333,NULL,NULL,"Wu, Hao",Identification of drug resistant mutations in HIV-1 CRF07_BC variants selected by nevirapine in vitro,2012,TRUE
Maeda14,10.3851/IMP2697,NULL,NULL,"Maeda, Kenji","Delayed Emergence of HIV-1 Variants Resistant to 4′-Ethy Nyl-2-Fluoro-2′-Deoxyadenosine: Comparative Sequential Passage Study with Lamivudine, Tenofovir, Emtricitabine and BMS-986001",2014,TRUE
Oliveira14,10.1097/QAD.0000000000000199,NULL,NULL,"Oliveira, Maureen",Resistance mutations against dolutegravir in HIV integrase impair the emergence of resistance against reverse transcriptase inhibitors,2014,TRUE
Depatureaux15,10.1097/QAI.0000000000000698,NULL,NULL,"Depatureaux, Agnès",HIV-1 Group O Resistance Against Integrase Inhibitors,2015,TRUE
Feng15,10.1128/AAC.04201-14,NULL,NULL,"Feng, Meizhen","In vitro resistance selection with doravirine (MK-1439), a novel nonnucleoside reverse transcriptase inhibitor with distinct mutation development pathways",2015,TRUE
Margot15,10.1128/AAC.01151-15,NULL,NULL,"Margot, Nicolas A.","Characterization of HIV-1 Resistance to Tenofovir Alafenamide In Vitro",2015,TRUE
Seki15,10.1128/AAC.04844-14,NULL,NULL,"Seki, Takahiro",Effects of Raltegravir or Elvitegravir Resistance Signature Mutations on the Barrier to Dolutegravir Resistance In Vitro,2015,TRUE
Yoshinaga15,10.1128/AAC.03909-14,NULL,NULL,"Yoshinaga, Tomokazu","Antiviral characteristics of GSK1265744, an HIV integrase inhibitor dosed orally or by long-acting injection",2015,TRUE
Oliveira16,10.1097/QAD.0000000000001191,NULL,NULL,"Oliveira, Maureen",The M184I/V and K65R nucleoside resistance mutations in HIV-1 prevent the emergence of resistance mutations against dolutegravir,2016,TRUE
Tsiang16,10.1128/AAC.01474-16,NULL,NULL,"Tsiang, Manuel","Antiviral Activity of Bictegravir (GS-9883), a Novel Potent HIV-1 Integrase Strand Transfer Inhibitor with an Improved Resistance Profile",2016,TRUE
Cox17,10.1016/j.antiviral.2017.03.021,NULL,NULL,"Cox, Stephanie","Evolution of tenofovir-resistant HIV-1 isolates exposed to tenofovir alafenamide dose escalation",2017,TRUE
Oliveira17,10.1093/jac/dkx280,NULL,NULL,"Oliveira, Maureen",M184I/V substitutions and E138K/M184I/V double substitutions in HIV reverse transcriptase do not significantly affect the antiviral activity of EFdA,2017,TRUE
Aoki18,10.1128/mBio.02425-17,NULL,NULL,"Aoki, Manabu","Mechanism of Darunavir (DRV)’s High Genetic Barrier to HIV-1 Resistance: A Key V32I Substitution in Protease Rarely Occurs, but Once It Occurs, It Predisposes HIV-1 To Develop DRV Resistance",2018,TRUE
Oliveira18,10.1186/s12977-018-0440-3,NULL,NULL,"Oliveira, Maureen","Selective resistance profiles emerging in patient-derived clinical isolates with cabotegravir, bictegravir, dolutegravir, and elvitegravir",2018,TRUE
Yoshinaga18,10.1016/j.antiviral.2018.01.013,NULL,NULL,"Yoshinaga, Tomokazu",Novel secondary mutations C56S and G149A confer resistance to HIV-1 integrase strand transfer inhibitors,2018,TRUE
Brenner21,10.1093/jac/dkab126,NULL,NULL,"Brenner, Bluma G",Cell culture selections reveal favourable drug resistance profiles for doravirine and islatravir,2021,TRUE
Wu15,10.1089/AID.2013.0211,NULL,NULL,"Wu, Hao",In vitro selection of HIV-1 CRF08_BC variants resistant to reverse transcriptase inhibitors,2015,TRUE
Yant19,10.1038/s41591-019-0560-x,NULL,NULL,"Yant, Stephen R.",A highly potent long-acting small-molecule HIV-1 capsid inhibitor with efficacy in a humanized mouse model,2019,TRUE
Link20,10.1038/s41586-020-2443-1,NULL,NULL,"Link, John O.",Clinical targeting of HIV capsid protein with a long-acting small molecule,2020,TRUE
Cilento21,10.1128/AAC.01167-21,NULL,NULL,"Cilento, Maria E.",Development of Human Immunodeficiency Virus Type 1 Resistance to 4′-Ethynyl-2-Fluoro-2′-Deoxyadenosine Starting with Wild-Type or Nucleoside Reverse Transcriptase Inhibitor-Resistant Strains,2021,TRUE
Diamond22,10.1128/aac.00133-22,NULL,NULL,"Diamond, Tracy L.",Islatravir Has a High Barrier to Resistance and Exhibits a Differentiated Resistance Profile from Approved Nucleoside Reverse Transcriptase Inhibitors (NRTIs),2022,TRUE
